siteName,theme,industry,colorScheme,localDesign,referoUrl
ElevenLabs,light,ai,light,docs/refero/styles/elevenlabs-031056ff/DESIGN.md,https://styles.refero.design/style/031056ff-7af1-46db-8daa-115f731c5d26
Cursor,light,devtools,light,docs/refero/styles/cursor-4e3b4717/DESIGN.md,https://styles.refero.design/style/4e3b4717-84c8-4599-baaf-a343c3d619b6
Linear,dark,ai,dark,docs/refero/styles/linear-90ce5883/DESIGN.md,https://styles.refero.design/style/90ce5883-bb24-4466-93f7-801cd617b0d1
Mercury,dark,fintech,dark,docs/refero/styles/mercury-3172cd4d/DESIGN.md,https://styles.refero.design/style/3172cd4d-118a-4a16-a259-6b634d32322e
Apple,light,ecommerce,light,docs/refero/styles/apple-c9cabb96/DESIGN.md,https://styles.refero.design/style/c9cabb96-32fa-4896-837a-f2497ce1c856
Stripe,light,fintech,light,docs/refero/styles/stripe-48e5de76/DESIGN.md,https://styles.refero.design/style/48e5de76-05d5-4c4e-a269-c7c245b291ec
monopo saigon,dark,agency,dark,docs/refero/styles/monopo-saigon-3e52dd36/DESIGN.md,https://styles.refero.design/style/3e52dd36-6ab1-48c6-bc40-47ef6d33abc2
Superhuman,mixed,saas,both,docs/refero/styles/superhuman-418b374a/DESIGN.md,https://styles.refero.design/style/418b374a-be64-44f0-b17e-1d45308c7e62
Hyperstudio,dark,agency,dark,docs/refero/styles/hyperstudio-8eb9c53e/DESIGN.md,https://styles.refero.design/style/8eb9c53e-d69c-497a-b640-610856cf3a60
Family,light,crypto,light,docs/refero/styles/family-1bcae895/DESIGN.md,https://styles.refero.design/style/1bcae895-2245-4d33-aa43-1c1e80719554
Antimetal,mixed,devtools,both,docs/refero/styles/antimetal-9f9a4a4f/DESIGN.md,https://styles.refero.design/style/9f9a4a4f-1a27-47ca-a65b-68b9850a84e4
General Intelligence Company,light,ai,light,docs/refero/styles/general-intelligence-company-34baa524/DESIGN.md,https://styles.refero.design/style/34baa524-5d5b-4165-bbab-d01f05e6d6b9
Raycast,dark,productivity,dark,docs/refero/styles/raycast-3b6a17f0/DESIGN.md,https://styles.refero.design/style/3b6a17f0-3bdf-418c-a95e-0b89e5a8b2f8
Titan,light,fintech,light,docs/refero/styles/titan-964b9215/DESIGN.md,https://styles.refero.design/style/964b9215-396b-492c-abec-7bd778d7b1c9
Dia Browser,light,ai,light,docs/refero/styles/dia-browser-b458ca1a/DESIGN.md,https://styles.refero.design/style/b458ca1a-70f0-4f85-b745-f879a4d08457
Anthropic,light,ai,light,docs/refero/styles/anthropic-d469cba4/DESIGN.md,https://styles.refero.design/style/d469cba4-c448-4a43-a033-883f8bfcdc42
Minimalissimo,light,design,light,docs/refero/styles/minimalissimo-35ff063b/DESIGN.md,https://styles.refero.design/style/35ff063b-1fcc-48a2-83b3-56da01e23880
Column,light,fintech,light,docs/refero/styles/column-a76ec6ba/DESIGN.md,https://styles.refero.design/style/a76ec6ba-20b3-495c-9d89-1e58281e79e7
Base44,light,ai,light,docs/refero/styles/base44-e869e214/DESIGN.md,https://styles.refero.design/style/e869e214-f672-4ac3-bfc2-bd25de7b003b
Acctual,light,fintech,light,docs/refero/styles/acctual-aeefc294/DESIGN.md,https://styles.refero.design/style/aeefc294-a8f7-443d-b76a-538dddc29afe
Hyer Aviation,light,other,light,docs/refero/styles/hyer-aviation-f61cf515/DESIGN.md,https://styles.refero.design/style/f61cf515-ccd5-4494-bdd1-be9fe4d7258c
Authkit,dark,devtools,dark,docs/refero/styles/authkit-e80231a2/DESIGN.md,https://styles.refero.design/style/e80231a2-e4d6-406a-a2c9-2e6109679690
Gleap,light,saas,light,docs/refero/styles/gleap-2eab438d/DESIGN.md,https://styles.refero.design/style/2eab438d-32cd-40c2-b160-1e4127dac569
OpenAI,light,ai,light,docs/refero/styles/openai-dc541737/DESIGN.md,https://styles.refero.design/style/dc541737-8bf2-4b31-b729-0352f696e82f
Contractbook,light,saas,light,docs/refero/styles/contractbook-fbc60c55/DESIGN.md,https://styles.refero.design/style/fbc60c55-da20-4684-a279-0ed86590272e
Augen Pro,light,saas,light,docs/refero/styles/augen-pro-0f7da1b2/DESIGN.md,https://styles.refero.design/style/0f7da1b2-9d06-4ef5-b5a8-ef7f92e57ab2
Apple,light,ecommerce,light,docs/refero/styles/apple-a48ef430/DESIGN.md,https://styles.refero.design/style/a48ef430-8c6a-42d8-8c53-ab7bb43cf33b
All-In-One Salon,light,saas,light,docs/refero/styles/all-in-one-salon-7ad5549e/DESIGN.md,https://styles.refero.design/style/7ad5549e-9baa-4fda-ac43-79d568a86b98
